id,titre,createur,date,image_url,lieu,genre,mouvement,wikidata_url
Q18681907,Juusjärvi rock painting,Artiste inconnu,,http://commons.wikimedia.org/wiki/Special:FilePath/Kirkkonummen%20Juusj%C3%A4rven%20kalliomaalaus%3B%20Tarkastuskuva%20%28musketti.M012-AKF128177-%29.jpg,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681907
Q11853688,Q11853688,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11853688
Q11861177,Q11861177,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11861177
Q11861732,Q11861732,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11861732
Q11863834,Q11863834,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11863834
Q11868332,Q11868332,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11868332
Q11872870,Q11872870,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11872870
Q11874103,Q11874103,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11874103
Q11886859,Q11886859,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11886859
Q11889280,Q11889280,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11889280
Q11889287,Q11889287,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11889287
Q11890290,Q11890290,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11890290
Q11891511,Q11891511,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11891511
Q11892111,Q11892111,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11892111
Q11898299,Q11898299,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11898299
Q11899372,Q11899372,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11899372
Q11900134,Q11900134,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q11900134
Q4703340,Q4703340,Artiste inconnu,,http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20paintings%20at%20Hindhammar.JPG,Lieu inconnu,,,http://www.wikidata.org/entity/Q4703340
Q11861261,Halsvuori rock painting,Artiste inconnu,,http://commons.wikimedia.org/wiki/Special:FilePath/Halsvuoren%20kalliomaalaus%202.jpg,Lieu inconnu,,,http://www.wikidata.org/entity/Q11861261
Q11865229,Iso Kuhajärvi rock painting,Artiste inconnu,,http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20painting%20in%20Laukaa.jpg,Lieu inconnu,,,http://www.wikidata.org/entity/Q11865229
Q18659320,Q18659320,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18659320
Q18659551,Q18659551,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18659551
